,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,rsi,srsi,sma
130,2017-12-25 10:05:00.000,14175,6.2889,6.2889,5.6643,5.7684,126389.78999999998,56656.69,15,743097.5706469999,4.974753924630347,5.978874988870628,3.970632860390066,-1.0,-0.07230620778385333,0.05266615569911304,0.09773920986526585,0.12697079222428442,0.23169559925693406,-0.07505356593078383,0.07643393181659561,-0.2619852077912298,0.0020749509297564874,-0.1153302451382497,-0.016084064124942347,0.36003882384579394,0.12637970769301088,0.041926659330335125,0.0262805172355276,0.08885843772909485,-0.08913191796208553,5.3775285714285745,4.879853333333332,81.0,48.00928101546763,1.0
131,2017-12-25 12:25:00.000,14203,5.8,5.96,5.7,5.9551,127678.54,63535.98,28,747534.1019219998,5.063876601423283,6.114708685097719,4.013044517748847,-1.0,0.032365994036474666,-0.042280476037311,0.08673674221686922,0.13326863058536942,0.16344632216469668,0.03185324957174185,0.076435964133025,-0.26147081102412945,0.006723672486833553,-0.10914799493490474,-0.011451391888918487,0.3610645913584151,-0.07505356593078383,0.12637970769301088,0.041926659330335125,0.0262805172355276,0.08885843772909485,5.49684285714286,4.972486666666666,81.0,48.846519635633804,1.0
133,2017-12-25 15:40:00.000,14242,5.8958,6.2828,5.8646,6.2828,143099.59999999998,89327.81,21,868940.14973,5.2436985284722,6.38011924526478,4.107277811679621,-1.0,0.06507993015646973,0.05502846299810238,0.08917550793981,0.010421357349630123,0.1465381948246287,0.06304984813525616,0.0746511431534467,-0.24103589843129802,0.01840106528113877,-0.15398464291842234,0.058502456875189186,0.3455204752631732,-0.009482102426036088,0.03185324957174185,-0.07505356593078383,0.12637970769301088,0.041926659330335125,5.836828571428574,5.158826666666665,85.0,50.8334309613255,1.0
135,2017-12-25 17:00:00.000,14258,6.77,6.8299,6.65,6.8106,116714.05,82234.83999999997,9,788544.4925259999,5.50476468595511,6.859694275812271,4.1498350960979495,-1.0,0.01970354843539468,0.08400713057872289,0.15455423892590137,0.1436583768534534,0.18067401705845643,0.019511946263712998,0.07514032554568457,-0.2194939128616705,0.01874906958766565,-0.14775975296478838,0.052160768595371415,0.3724856365012554,0.061152534756758525,0.06304984813525616,-0.009482102426036088,0.03185324957174185,-0.07505356593078383,6.230400000000002,5.4596866666666655,90.0,54.840195541943245,1.0
159,2017-12-26 19:00:00.000,14570,10.39,10.4,10.39,10.4,85548.26,85548.26,2,889105.1169,8.314107608371028,10.569428421917213,6.058786794824845,-1.0,0.027119916250222253,0.07217600181445172,0.11112298208314209,0.14035087719298267,0.21719997191077,0.026758687762233002,0.06294055980807152,-0.3440443590406738,0.18994045482202487,-0.3183330063017613,-0.089841016959055,0.27333978324637415,0.04293154220724826,0.035680969506100446,0.025964802585505264,0.06521711390266915,0.004786606665973192,9.393257142857147,8.528873333333332,94.0,71.23989867525509,1.0
198,2017-12-27 17:35:00.000,14841,9.0477,9.2995,8.8,9.2995,81900.02,62722.26,5,742705.740018,9.607880948431841,10.720485303094435,8.495276593769248,1.0,0.0642595559624628,0.0775282721542454,0.03222261688052219,-0.01904008438818572,-0.03641111191702329,0.06227930474380061,0.03714115556736598,0.15080501338528848,-0.1293912930124298,-0.007088661796585235,-0.02467446439143316,0.06451594554365152,0.012390476565970143,-0.04295542348181236,-0.050938038821844334,-0.017866858983829115,0.04784769119576504,9.144000000000004,9.679833333333331,37.0,43.68199702975864,-1.0
201,2017-12-27 22:20:00.000,14898,8.83,9.27,8.5,9.27,82987.44,52843.21,28,738850.0281969998,9.46961002827267,10.511917282079366,8.427302774465975,1.0,0.04983012457531144,0.026350752878653516,-0.003172213559868853,0.06088349736781873,0.07411012235817571,0.04862836496189482,0.037872196763172127,0.0919064550414166,-0.19689830525245886,0.054199139829114375,0.008890758139468992,0.021659112395518765,-0.022618812231492313,-0.02918680842568344,0.06227930474380061,0.012390476565970143,-0.04295542348181236,8.972728571428574,9.438833333333333,39.0,41.183715431165005,-1.0
209,2017-12-28 03:00:00.000,14954,8.2007,8.4,8.2007,8.4,100158.87,100158.87,2,828937.6573719998,9.302358679113842,10.448903715007798,8.155813643219886,1.0,0.030662200463797973,-0.03559127439724463,-0.08694659724562215,-0.1683003623834135,-0.1764463660695903,0.03020150873312133,0.040103380577262204,0.16803017521466107,-0.1101579434232588,-0.12239219870431282,-0.07734467630707345,0.011779258129613657,-0.06644159374826497,-0.054720823566291266,-0.09332300724025133,-0.009842686422031122,0.01248980365268082,9.261800000000004,9.145353333333334,31.0,41.100889845250435,1.0
257,2017-12-30 12:40:00.000,15646,7.7294,7.8370000000000015,7.4421,7.4421,98605.81,24875.25,25,751550.0144800001,8.302631451443869,9.1171687074768,7.4880941954109375,1.0,-0.03716976738168554,-0.06740601503759402,-0.08138099587725578,-0.09573511543134883,-0.0758484521104198,-0.03787817284091677,0.031821070808935564,-0.1797978028712036,-0.16583139000224287,0.2515829909910146,-0.05883457135325088,-0.1680344161527943,-0.03190717153859701,-0.015098474787822003,-0.015749128439439097,0.02175373968519345,0.004243490255600779,7.936371428571429,8.291759999999995,14.0,36.11391546589665,-1.0
258,2017-12-30 13:15:00.000,15653,7.3,7.3496,7.06,7.06,106514.19,14374.02,7,767517.381617,8.189664955855914,9.140792793958422,7.238537117753407,1.0,-0.05134303489606429,-0.08660439361399341,-0.11528822055137855,-0.1285456834621177,-0.14216281895504257,-0.05270801557705296,0.031318881990121034,-0.09812507206545763,-0.034422826816802074,0.16925019835746374,0.02314022922526021,-0.1314635236517774,-0.03787817284091677,-0.03190717153859701,-0.015098474787822003,-0.015749128439439097,0.02175373968519345,7.799400000000001,8.186186666666663,10.0,33.859725722850264,-1.0
259,2017-12-30 14:05:00.000,15663,7.3,7.6297,7.3,7.6297,104555.13000000002,82866.91000000003,10,776587.7572689998,8.138759050777223,9.078772813848571,7.198745287705875,1.0,0.08069405099150151,0.02520793861947568,-0.012898801976867547,-0.043897243107769546,-0.05822450440664584,0.07760347453853766,0.03301212641031316,-0.2293311367891166,-0.04626644326291893,0.07196129221439035,-0.03721780344528521,-0.11293346694324496,-0.05270801557705296,-0.03787817284091677,-0.03190717153859701,-0.015098474787822003,-0.015749128439439097,7.738942857142859,8.08909333333333,28.0,32.61309048245823,-1.0
262,2017-12-30 18:25:00.000,15715,7.1003,7.54,7.0538,7.4251,99697.34,44913.22,20,729389.252725,7.929027160611266,8.923432245060624,6.934622076161908,1.0,0.04477338924144125,0.010795284380189951,-0.026816257519954978,0.0517138810198301,-0.0022843014740463463,0.04380000950035812,0.030549838808779022,-0.17111309490178855,-0.04276234480555825,0.06978712407090285,0.029323154570175515,-0.12166170002622982,-0.03306257821460745,-0.037919804717900574,0.07760347453853766,-0.05270801557705296,-0.03787817284091677,7.391285714285717,7.788839999999998,31.0,30.560947018177014,-1.0
296,2018-01-02 19:30:00.000,16592,8.6197,8.6197,8.3,8.56,100277.22999999998,35411.89,9,844768.3469850001,8.410774848484362,8.794820079312153,8.02672961765657,-1.0,-0.0015163886620785938,-0.0016211992208912118,0.004671251848548108,-0.010404624277456587,0.01072120153025069,-0.0015175395429682936,0.02973571879038829,0.04346004053767703,-0.15363701773366453,-0.07627630671759485,-0.011725599997626162,-0.1263732329941755,-0.00010497524343477949,0.00628289019593975,-0.01511950619967406,0.021123267744143526,0.01665663416536045,8.525085714285717,8.402233333333333,49.0,49.034999710287394,1.0
298,2018-01-02 20:45:00.000,16607,9.01,9.01,8.4004,8.8106,88373.93999999997,36269.93,9,772900.469605,8.504083345854884,8.982002383645895,8.026164308063873,-1.0,-0.03180219780219762,0.02927570093457943,0.02771491893152933,0.027607039970142022,0.03408370695523577,-0.032318871466929355,0.03113288265020297,-0.010055503762811295,-0.17265962675458288,-0.07281133186730115,-0.03933349647760236,-0.07702345670027576,0.06117422336915368,-0.0015175395429682936,-0.00010497524343477949,0.00628289019593975,-0.01511950619967406,8.683957142857142,8.52384,60.0,51.37862054146335,1.0
299,2018-01-02 23:20:00.000,16638,8.86,8.9589,8.7331,8.8102,82535.16000000003,42376.529999999984,31,729245.9383259999,8.531912132595359,9.007242067600838,8.05658219758988,-1.0,-4.539985926055312e-05,-0.03184615384615386,0.029228971962616868,0.027668260818849877,0.027560386755152155,-4.5400889865376826e-05,0.030550887964645106,-0.0230478232101657,-0.1771762969249323,-0.07202530310224169,-0.020970785886201306,-0.09593734168129506,-0.032318871466929355,0.06117422336915368,-0.0015175395429682936,-0.00010497524343477949,0.00628289019593975,8.706842857142856,8.57558,60.0,51.73953939543095,1.0
311,2018-01-04 00:55:00.000,16945,9.44,9.44,8.95,8.95,79752.11000000003,13969.21,15,729121.74667,8.704271490857767,9.19094135377011,8.217601627945424,-1.0,-0.04938927243759961,0.003025888154208234,0.025870270394186434,0.03712802447390362,0.031296091445427665,-0.05065062982235169,0.027906998219336,-0.0050945767587412625,-0.1520283550532728,-0.1764878212757473,-0.07924537809071701,0.14166826550344122,0.0536719491911013,0.022519977274421343,0.010914081564510791,-0.005639025804747622,0.008052243979784546,8.847014285714286,8.759806666666666,77.0,51.08933766502428,1.0
312,2018-01-04 02:15:00.000,16961,8.9061,8.9589,8.6387,8.9589,87965.35999999999,39245.390000000014,16,776122.5750569999,8.727419537143428,9.204886804735905,8.24995226955095,-1.0,0.0009944134078212485,-0.04844397238449272,0.004023310545780534,0.026890409545751615,0.03815935848706786,0.0009939193063419616,0.0273309081707406,-0.036898545098079445,-0.14955751259868252,-0.24192199444873608,-0.16503577619159868,0.1596533454081428,-0.05065062982235169,0.0536719491911013,0.022519977274421343,0.010914081564510791,-0.005639025804747622,8.897028571428573,8.7504,58.0,50.98786860121424,1.0
314,2018-01-04 07:00:00.000,16994,9.05,9.1599,8.9106,9.06,81236.48,42340.62,21,737138.2997109999,8.789859121606145,9.272148380476423,8.307569862735868,-1.0,-0.006262956422546706,0.011284867561865974,0.012290502793296243,-0.0377057886351565,0.015353580634315911,-0.006282651008070683,0.027030722899477243,-0.03574159288775836,-0.22043963046614273,-0.262738799969122,-0.16476007179449048,0.22358795069998377,0.017504319469852536,0.0009939193063419616,-0.05065062982235169,0.0536719491911013,0.022519977274421343,9.021185714285716,8.787486666666666,65.0,51.24333949429055,1.0
322,2018-01-05 00:00:00.000,17198,9.0097,9.3762,9.0097,9.0826,79014.83999999997,35782.47,41,727411.883541,8.914397922986991,9.3116662387511,8.517129607222882,-1.0,0.004879128173922442,-0.017130366089883053,0.017943401513028867,0.0024944812362028834,0.014260349082624968,0.004867263804256616,0.02345398499655643,-0.22231314309440353,-0.14578252778121906,-0.06344818337569971,-0.058017515037083356,0.08244691251209532,-0.022146052074898392,0.0350631071254921,-0.015292943672709391,0.011668251550403852,0.003916132737738831,9.031328571428569,9.012880000000001,71.0,53.30129435623252,1.0
323,2018-01-05 03:05:00.000,17235,9.0787,9.24,9.0,9.1,80919.78,46712.79,37,737573.846427,8.931270839079083,9.31882802987637,8.543713648281797,-1.0,0.0019157509964107255,0.006804226364994115,-0.015247432609377887,0.01989352759876728,0.004415011037527394,0.0019139182857754733,0.023420444247955245,-0.21599119916244333,-0.15402566543820279,-0.06268129103754588,-0.06755090920888512,0.08770165475529024,0.004867263804256616,-0.022146052074898392,0.0350631071254921,-0.015292943672709391,0.011668251550403852,9.057057142857142,9.037926666666667,70.0,53.019476828710964,1.0
325,2018-01-05 06:30:00.000,17276,9.2503,9.6111,9.2202,9.6111,79660.03,58166.85000000001,25,751708.0594249999,9.019728792627342,9.49430048140095,8.545157103853734,-1.0,0.03861116514296836,0.05616483516483517,0.058188184000176335,0.06335121978204339,0.040061033016264735,0.037884402556095154,0.023155279565060777,-0.16496498359289097,-0.17555599343937237,-0.023307187227651675,-0.07277154019793049,0.04799275972623299,0.016759864452682294,0.0019139182857754733,0.004867263804256616,-0.022146052074898392,0.0350631071254921,9.178485714285712,9.073053333333336,82.0,53.06792913744477,1.0
326,2018-01-05 06:55:00.000,17281,9.7201,10.3806,9.7201,10.0798,81723.2,60863.12,5,830538.3435010002,9.116098902388496,9.767369930490489,8.464827874286502,-1.0,0.04876653036593104,0.08926062806630797,0.10767032967032986,0.10979235020809042,0.11520716933119424,0.047614740644958964,0.02400683779731096,-0.09923728548392823,-0.1427388820847153,-0.020118737790115172,-0.06800229564066711,0.004883815833639754,0.037884402556095154,0.016759864452682294,0.0019139182857754733,0.004867263804256616,-0.022146052074898392,9.343814285714284,9.148373333333335,91.0,54.26832359911879,1.0
327,2018-01-05 08:00:00.000,17294,10.0797,10.2999,10.0797,10.1888,72550.81000000001,37781.210000000014,13,736961.5733240001,9.213617183989545,9.994811069690025,8.432423298289065,-1.0,0.0108137066211631,0.06010758393940341,0.1010395729322009,0.11964835164835175,0.12179331909365176,0.010755656611276976,0.023816625673236967,-0.07246964041501673,-0.10438984628964293,-0.04378635413344065,-0.047119356263803786,0.040724820220141546,0.047614740644958964,0.037884402556095154,0.016759864452682294,0.0019139182857754733,0.004867263804256616,9.47922857142857,9.23036666666667,91.0,55.345724190863066,1.0
328,2018-01-05 08:30:00.000,17300,10.2785,11.4686,10.2676,11.4686,79771.84,74490.31,6,878345.4761379998,9.418615621808682,10.662645703941815,8.17458553967555,-1.0,0.1256085113065326,0.13778051151808568,0.19326611938279692,0.239339514577795,0.26028571428571445,0.1183237883624213,0.02872565637846394,-0.051788600059325944,0.08375972480749987,0.08422183649086348,0.0023895410562757183,0.02327310634977495,0.010755656611276976,0.047614740644958964,0.037884402556095154,0.016759864452682294,0.0019139182857754733,9.826385714285712,9.387133333333338,95.0,57.27522244043691,1.0
329,2018-01-05 08:45:00.000,17303,11.3,11.3,11.0102,11.21,68012.08,16189.13,3,761511.59837,9.581468747098803,11.007470462586971,8.155467031610636,-1.0,-0.022548523795406505,0.1002277010050252,0.11212524058017026,0.16635972989564163,0.21139423804275004,-0.02280662906617037,0.028587610341831157,-0.1040524751456815,0.05367978964497549,0.004200390816466788,-0.06284318382610471,0.009514629737083303,0.1183237883624213,0.010755656611276976,0.047614740644958964,0.037884402556095154,0.016759864452682294,10.1303,9.530466666666673,95.0,59.181387503036866,1.0
330,2018-01-05 09:00:00.000,17306,11.4799,12.0999,11.4799,11.8,79424.37,49840.76,3,945084.813524,9.783153406453462,11.459341365402022,8.106965447504901,-1.0,0.05263157894736836,0.02889629074167721,0.15813442211055273,0.17065814797912648,0.22774708410067523,0.05129329438755059,0.02906550236798958,-0.11835739889764259,0.19835349714957265,0.03898660454659568,-0.00023645508757215198,0.028020824406199605,-0.02280662906617037,0.1183237883624213,0.010755656611276976,0.047614740644958964,0.037884402556095154,10.516014285714286,9.728760000000005,97.0,61.207650109387615,1.0
331,2018-01-05 09:20:00.000,17310,11.111,11.6799,10.8137,10.8137,78237.09,16688.17,4,873833.9617,9.876839460412238,11.538629392063388,8.215049528761089,-1.0,-0.08358474576271191,-0.03535236396074937,-0.05710374413616304,0.06133205087939708,0.07280898430524418,-0.08728568271278148,0.03177339734706556,-0.22230069964644333,0.2276973656838606,-0.2222383968566083,0.003329813748867068,-0.08181755494388591,0.05129329438755059,-0.02280662906617037,0.1183237883624213,0.010755656611276976,0.047614740644958964,10.738857142857142,9.85501333333334,74.0,61.864509208427286,1.0
332,2018-01-05 09:45:00.000,17315,10.7755,11.7,10.7755,11.7,79935.95999999999,43301.4,5,892533.225476,10.042581327647492,11.820074948087527,8.265087707207456,-1.0,0.08196084596391606,-0.008474576271186529,0.043710972346119314,0.020176830650646016,0.14831972361809043,0.07877499304487268,0.03302469577832588,-0.34914853505816007,0.28618029267503725,-0.2348255737452715,0.21235437935533824,-0.08766771838442654,-0.08728568271278148,0.05129329438755059,-0.02280662906617037,0.1183237883624213,0.010755656611276976,11.037271428571428,10.038020000000005,73.0,62.835132493888345,1.0
343,2018-01-05 14:30:00.000,17372,13.6255,13.6255,13.3009,13.3009,57401.92,0.0,2,778023.2002900002,11.846814058470384,14.371868495038274,9.321759621902494,-1.0,-0.043121371481190995,-0.043100719424460476,0.007506552136829825,0.064923939151321,0.06100780944631912,-0.04407872052636996,0.03575066076334945,-0.29230591317270554,0.13480013614932326,-0.12253061278114154,0.2184849292901768,-0.11970118018130393,2.1582500909111957e-05,0.05153565620463274,0.05542485979452705,-0.0036841579105817424,0.012998822147633149,13.10047142857143,12.260680000000004,68.0,68.03654405429637,1.0
369,2018-01-06 01:50:00.000,17508,18.2,18.2,17.8325,17.8325,45895.12,0.0,2,825869.4689,15.71738461979295,18.67407350183861,12.760695737747291,-1.0,-0.0360810810810811,0.0075427990281935475,0.06145833333333317,0.0742405166233937,0.1440770395462827,-0.03674809691422265,0.04069781584504102,-0.22325472147303485,0.03918369976318979,-0.006305488676823814,-0.05628228734817597,-0.24412239095386667,0.04426259127566201,0.052129254399403635,0.01197016696847486,0.06298431722163667,0.05787647352411751,16.81838571428571,16.161340000000006,75.0,65.36580883231696,1.0
395,2018-01-06 14:25:00.000,17659,17.5688,18.3002,17.5688,18.3002,48140.87,15944.5,2,857439.1241559999,16.604481705422536,18.580465402556047,14.628498008289027,-1.0,-0.010800000000000032,0.02810112359550554,0.04872807294024617,0.08477128173514092,0.12964197530864197,-0.010858743334875687,0.04185550451241835,-0.13406352209085887,0.023090018648705073,0.1684934148494786,-0.19384146691662263,-0.1537650817965722,0.03857227478623937,0.019864539325049613,0.033791093750405565,0.04053158198424622,0.004950505159855734,17.32002857142858,16.359586666666676,62.0,49.984733114958225,1.0
408,2018-01-06 18:15:00.000,17705,20.5,21.1799,20.5,21.1799,39121.59,13758.63,2,811347.087537,18.5133727554727,21.125065365353535,15.90168014559187,-1.0,0.012907699665231975,0.0696919191919192,0.1088952879581151,0.11531858873091116,0.14467383667513367,0.012825105286255578,0.04195164016045457,-0.13170641176778888,0.07861406436208289,0.17190382192098255,-0.1820238495600749,-0.19191935486200792,0.05454557574005259,0.0359936026479053,0.0057758102283900215,0.025979643724615364,0.05572628590072304,19.42614285714287,18.92493333333334,68.0,60.33169477198982,1.0
409,2018-01-06 18:25:00.000,17707,21.99,21.99,21.9,21.9,78762.58,32062.95,2,1727786.1675,18.82124795952064,21.72645005266272,15.916045866378562,-1.0,0.03399921623803692,0.04734576757532283,0.10606060606060597,0.1465968586387434,0.15323854660347558,0.03343401809565716,0.04187443624723173,-0.1002673565427571,0.09090943006700322,0.20372767309232234,-0.16653306529588685,-0.21078362201201223,0.012825105286255578,0.05454557574005259,0.0359936026479053,0.0057758102283900215,0.025979643724615364,20.054700000000015,19.151600000000006,75.0,61.20462210841413,1.0
410,2018-01-06 18:35:00.000,17709,20.29,21.0,20.29,21.0,43569.53,18360.44,2,897061.6761,19.019316326836947,21.951848097560838,16.086784556113056,-1.0,-0.041095890410958846,-0.008493902237498796,0.004304160688665792,0.06060606060606055,0.09947643979057585,-0.04196419909903204,0.04064749774606189,-0.11129520100714058,0.04265256058945368,0.13628489480928943,-0.13830608786298615,-0.1587692387631121,0.03343401809565716,0.012825105286255578,0.05454557574005259,0.0359936026479053,0.0057758102283900215,20.411414285714297,19.33158666666667,52.0,61.52031294686361,1.0
